File Name,Size (KB),Type,Modified Time,Path
ror2-junk-oldchest1_bin_assets_all.bundle,47.28,.bundle,2025-05-14 15:15:08.485204,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-oldchest1_bin_assets_all.bundle
ror2-junk-oldchest1_text_assets_all.bundle,7.25,.bundle,2025-05-14 15:15:07.725346,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-oldchest1_text_assets_all.bundle
ror2-junk-oldstage1_bin_assets_all.bundle,13966.14,.bundle,2025-05-14 15:15:24.295007,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-oldstage1_bin_assets_all.bundle
ror2-junk-oldstage1_text_assets_all.bundle,47.71,.bundle,2025-05-14 15:15:08.626285,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-oldstage1_text_assets_all.bundle
ror2-junk-orbitallaser_text_assets_all.bundle,42.21,.bundle,2025-05-14 15:15:08.161128,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-orbitallaser_text_assets_all.bundle
ror2-junk-paladin_text_assets_all.bundle,69.28,.bundle,2025-05-14 15:15:08.765877,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-paladin_text_assets_all.bundle
ror2-junk-parent_text_assets_all.bundle,42.32,.bundle,2025-05-14 15:15:08.358146,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-parent_text_assets_all.bundle
ror2-junk-passivehealing_text_assets_all.bundle,2.63,.bundle,2025-05-14 15:15:07.234816,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-passivehealing_text_assets_all.bundle
ror2-junk-plantonhit_text_assets_all.bundle,2.21,.bundle,2025-05-14 15:15:07.325584,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-plantonhit_text_assets_all.bundle
ror2-junk-plasmacore_text_assets_all.bundle,37.06,.bundle,2025-05-14 15:15:08.395147,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-plasmacore_text_assets_all.bundle
